shipper_id,shipper_name,shipper_phone,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_gender,shipper_age,shipper_marital_status,shipper_education,city,district,region
SHP00001,Bùi Văn Long,0991476209,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Male,27,Married,Bachelor,Phan Rang-Thap Cham,District #25,Central
SHP00002,Trần Anh Khánh,0959297982,J&T Express,Van,2,4.9,98.4,72,Afternoon,2025-01-29,Male,41,Married,Bachelor,Phan Thiet,District #29,Central
SHP00003,Hoàng Thị Khánh,0927142576,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Male,30,Single,High School,Long Xuyen,District #34,West
SHP00004,Trần Đức Vy,0971617475,Viettel Post,Truck,8,5.0,96.3,53,Evening,2025-12-22,Female,42,Married,College,Kon Tum,District #27,Central
SHP00005,Trần Minh Cường,0979196342,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19,Male,31,Married,College,Da Nang,District #23,Central
SHP00006,Võ Thanh Nam,0951235544,J&T Express,Van,9,4.7,96.0,41,Afternoon,2024-02-02,Female,41,Married,Bachelor,Hoi An,District #29,Central
SHP00007,Hoàng Anh Hùng,0987597617,BEST Express,Truck,6,4.4,99.6,75,Afternoon,2024-06-06,Female,34,Single,High School,Phu Ly,District #09,East
SHP00008,Phạm Thanh Trang,0914419500,BEST Express,Truck,5,4.7,95.9,69,Afternoon,2022-03-11,Female,34,Married,Bachelor,Lao Cai,District #16,East
SHP00009,Nguyễn Thanh Bình,0909770946,BEST Express,Truck,12,4.3,97.4,66,Evening,2022-10-06,Female,53,Married,College,Phu Ly,District #10,East
SHP00010,Bùi Đức Bình,0921691981,Ahamove,Motorbike,8,4.5,99.5,44,Evening,2022-08-10,Male,31,Single,Bachelor,Tra Vinh,District #37,West
SHP00011,Võ Thị Hùng,0940850445,J&T Express,Van,5,4.6,98.4,74,Afternoon,2023-03-23,Female,43,Single,High School,Son Tay,District #03,East
SHP00012,Nguyễn Thị Bình,0972210652,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01,Female,49,Single,Bachelor,Ha Long,District #07,East
SHP00013,Lê Anh Hà,0984678290,BEST Express,Truck,10,4.2,97.7,47,Morning,2025-10-28,Female,39,Single,College,Tam Ky,District #23,Central
SHP00014,Lê Gia Vy,0971290529,J&T Express,Van,8,4.8,96.3,71,Evening,2018-02-10,Male,50,Single,Bachelor,Phan Thiet,District #32,Central
SHP00015,Bùi Văn Hùng,0946414069,Viettel Post,Truck,1,4.3,98.8,42,Afternoon,2024-12-22,Female,48,Single,Bachelor,Son Tay,District #06,East
SHP00016,Bùi Văn Trang,0926827357,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Male,55,Married,High School,Hue,District #25,Central
SHP00017,Bùi Thị Hùng,0908818611,GHN,Motorbike,11,5.0,98.1,69,Afternoon,2025-08-24,Female,51,Married,College,Hue,District #20,Central
SHP00018,Lê Gia Phong,0902541877,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Female,52,Single,College,Uong Bi,District #11,East
SHP00019,Đặng Văn Nam,0991210929,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Female,46,Single,Bachelor,Quy Nhon,District #21,Central
SHP00020,Hoàng Đức Giang,0903070385,Ninja Van,Van,6,5.0,95.7,57,Afternoon,2025-03-30,Female,53,Married,High School,Phan Rang-Thap Cham,District #30,Central
SHP00021,Lê Quốc Trang,0960718218,GHN,Motorbike,12,4.3,99.7,20,Morning,2023-12-12,Female,48,Married,Bachelor,Tuy Hoa,District #32,Central
SHP00022,Lê Thanh Nam,0988804431,Ahamove,Motorbike,7,4.8,99.4,31,Morning,2018-06-29,Male,54,Single,Bachelor,Cam Pha,District #19,East
SHP00023,Bùi Văn Hà,0928729869,Shopee Express,Motorbike,6,4.6,95.9,20,Evening,2023-11-06,Male,36,Single,College,Uong Bi,District #06,East
SHP00024,Hoàng Thị Nam,0993822938,Ninja Van,Van,3,4.5,96.4,71,Evening,2023-07-11,Female,55,Married,High School,Bac Giang,District #15,East
SHP00025,Trần Đức Cường,0922791841,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Male,33,Single,High School,Kon Tum,District #25,Central
SHP00026,Nguyễn Thanh Hùng,0902981241,Ninja Van,Van,11,4.3,96.0,21,Afternoon,2025-11-16,Male,37,Single,High School,Lao Cai,District #16,East
SHP00027,Hoàng Thị Giang,0902650261,Ninja Van,Van,9,4.4,96.8,34,Evening,2018-02-04,Female,47,Married,High School,Viet Tri,District #11,East
SHP00028,Hoàng Đức Quân,0983104398,GHTK,Motorbike,8,4.6,98.8,52,Afternoon,2023-06-05,Male,29,Single,College,Cam Pha,District #06,East
SHP00029,Võ Quốc Hùng,0938481552,Viettel Post,Truck,8,4.3,98.2,21,Morning,2023-03-28,Male,36,Single,College,Dong Hoi,District #30,Central
SHP00030,Hoàng Văn Trang,0956294981,Viettel Post,Truck,4,4.2,96.4,63,Morning,2019-04-11,Male,46,Single,High School,Da Lat,District #33,West
SHP00031,Lê Thanh Nam,0956649092,Viettel Post,Truck,7,4.4,96.0,47,Afternoon,2021-11-19,Female,53,Single,Bachelor,Kon Tum,District #30,Central
SHP00032,Đặng Văn Nam,0961242116,BEST Express,Truck,6,4.8,97.1,37,Afternoon,2023-06-14,Female,24,Single,High School,Bac Ninh,District #04,East
SHP00033,Võ Gia Giang,0996960250,J&T Express,Van,9,5.0,99.9,42,Evening,2022-02-07,Female,29,Married,High School,Viet Tri,District #09,East
SHP00034,Đặng Thị Vy,0983912150,Ninja Van,Van,7,4.7,97.4,58,Evening,2018-08-28,Female,47,Married,College,Nha Trang,District #28,Central
SHP00035,Trần Văn Hùng,0986963662,BEST Express,Truck,2,4.7,98.9,74,Morning,2020-05-03,Male,54,Married,High School,Tam Ky,District #32,Central
